0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
-0.44223574,-0.18630691,-0.32456487,-0.8296849,-1.4699997,0.38032615,-0.838482,1.3155932,0.48550463,1.2333146,0.24392942,-0.80433893,-0.12388937,0.40180525,-0.38907704,-1.1306918,-0.7483288,0.2867206,0.54506886,-0.07024072,-0.051092274,0.72490996,-1.152941,-1.8729635,-0.7647767,-0.37359855,-0.44570524,0.21340862,-0.011555029,1.4388669,0.18309036,-0.079363905,0.060378667,-0.15379804,0.31087983,-0.3248582,-0.598355,0.68864715,-0.9179243,1.0027277,-1.0249772,-0.60512453,0.78197956,0.27223527,-0.48804986,0.2548244,-0.38458654,0.59222984,-0.36525854,0.44514966,0.08175751,0.67845076,-0.40500417,-0.18120849,-0.52197397,-0.21179226,1.0101179,-0.90777874,-0.46034405,-0.7382572,0.66135806,-0.43859208,-1.3459771,0.8573525,-0.07310256,-0.018255364,-0.46106684,0.6003504,0.27113232,-0.29281187,0.4744628,0.0895627,0.4391974,0.19034016,-0.80160373,-0.45873085,-0.86526537,0.32672867,-0.42721653,0.23457962,0.30556235,-1.1909093,-0.2927621,0.6076558,0.97218335,0.036271043,-0.43642363,-1.1758227
-0.44973174,0.17646432,-0.19076858,-0.40259886,-1.4915574,0.51157504,-0.4728182,1.2791833,0.633745,1.0482465,0.33062845,-0.7715185,0.08030523,0.424705,-0.52747405,-1.160553,-0.62836957,0.4597491,0.61176527,0.0722225,-0.007215872,0.92062885,-1.2965431,-2.0198436,-0.76802325,-0.60199314,-0.4572073,0.013439365,-0.035741873,1.3794255,0.17076194,0.15100357,0.2250824,-0.002890118,0.06257005,-0.6382956,-0.46224296,0.77814025,-0.93845344,0.86036205,-0.75558823,-0.4759536,0.642642,0.36219358,-0.28692478,0.121104956,-0.36278766,0.426151,-0.22546288,0.43359542,0.25614336,0.6506983,-0.41590866,-0.15370485,-0.6594564,-0.16180113,0.6984417,-0.5890808,-0.39969084,-0.5748809,0.23501444,-0.4594075,-1.5146421,0.7181293,-0.043632783,0.05637808,-0.44744408,0.31272602,0.37225124,-0.41422486,0.5779036,0.259496,0.53349656,0.40252125,-0.64602613,-0.39535767,-0.82494915,0.31938434,-0.44966608,0.2715946,0.3837013,-0.9302739,-0.20554864,0.42330375,1.0499302,-0.06740218,-0.22754657,-1.3103485
-0.42285493,0.42346364,-0.29402047,0.31867185,-1.724048,0.8292221,-0.20004465,1.2715672,0.71981245,0.6533401,0.37888795,-0.42221993,0.24714951,0.43131435,-0.561793,-1.2231252,-0.58408594,0.7403802,0.92396,-0.06690757,0.19677809,0.93725353,-0.7952145,-1.8262978,-0.42493486,-0.69102526,-0.40877268,0.1996398,-0.26236802,1.7259059,0.3894906,0.068878755,0.599433,0.09279404,0.1079162,-0.89144,-0.36526138,0.7344079,-0.9332036,0.7984956,-0.59981626,-0.16769683,0.48982766,0.55886334,0.059054222,0.2087086,-0.67251587,0.47492152,-0.39608863,0.7631829,0.18061925,0.65497243,-0.2917407,-0.41813803,-0.65486604,0.021474883,0.23558289,-0.20671453,-0.33136398,-0.63941115,-0.13807595,-0.62442845,-1.3109787,0.4752357,-0.078278296,0.28783512,-0.30388996,0.26232618,0.4376598,-0.63753074,0.68296885,0.42048326,0.3586143,0.58511484,-0.56728375,-0.40769455,-0.9231077,0.1448602,-0.20068003,0.29817104,0.30311987,-0.64779276,-0.1099059,0.02780854,1.0690427,-0.06325002,-0.2080226,-1.2394515
-0.5207558,0.4165749,-0.6269629,0.622718,-2.046332,1.0389194,-0.06566019,1.1266989,0.7291379,0.47762325,0.81862557,-0.14660542,0.33946836,0.14964783,-0.2772429,-1.0848981,-0.6474197,0.9519325,1.2507975,-0.17448112,0.30553633,0.7493226,-0.4773754,-1.3357372,-0.00759878,-0.69959205,-0.26534122,0.21751404,-0.59066164,1.9725707,0.63271475,-0.05679316,0.7371998,-0.07748955,0.30949095,-0.6080017,-0.36802506,0.5624138,-0.77140397,0.6419483,-0.38403308,-0.123966716,0.60026646,0.6254002,0.26704466,0.38699225,-1.0027437,0.4874091,-0.19039011,0.88197327,0.20564008,0.3747808,-0.07258707,-0.9117775,-0.15585591,0.29640433,-0.06254561,0.18054916,-0.37800366,-0.61972594,-0.110325664,-0.9177298,-0.7210364,0.37303782,-0.499592,0.13045302,-0.12178909,0.17958185,0.27862746,-0.5163684,0.63556546,0.04088625,0.17102069,0.48992768,-0.34504405,-0.73763573,-0.6686595,-0.14676058,-0.0351452,0.39915332,0.17732343,-0.49022275,-0.26580694,-0.09716907,1.2080963,-0.15991168,-0.4756255,-0.73741156
-0.49074975,0.29517436,-0.90763265,0.52583873,-2.1823676,0.9320743,-0.0883019,1.107012,0.6092544,0.46616074,1.2910516,-0.01134673,0.24176537,-0.12638783,-0.04427371,-0.7467776,-0.69851327,0.94822484,1.5227708,-0.2443896,0.2921723,0.6014916,-0.36735204,-0.74793816,0.21203682,-0.6214484,-0.023438565,0.09275593,-0.9387553,1.9180839,0.6184132,-0.117320865,0.51766753,-0.44278014,0.4007112,-0.11949472,-0.18385124,0.5459795,-0.7107428,0.41962376,-0.36574915,-0.32364264,0.6177529,0.6935429,-0.04320299,0.5183604,-0.9843795,0.6208936,-0.06883337,0.8000894,0.12733586,0.22591585,0.15991561,-1.2508703,-0.003287025,0.38817617,-0.17450683,0.32750827,-0.22310683,-0.60215044,0.28743058,-0.81265426,-0.26532763,0.26936853,-0.8969741,0.030530915,-0.03083966,0.13003278,0.07483652,-0.2956435,0.5362799,-0.50378525,0.004420931,0.34471852,-0.319655,-0.9189434,-0.35507616,-0.3692448,0.036377303,0.4077505,0.24276483,-0.50603205,-0.40215918,0.0708465,1.4353476,-0.2371734,-0.7398896,-0.22815874
-0.43959028,0.17741613,-0.84318775,0.35831815,-2.314274,0.79568756,-0.18770134,0.940474,0.5797278,0.5170113,1.5964375,-0.07372684,0.19137071,-0.1362926,0.15531382,-0.55314296,-0.87039065,0.8965383,1.4872174,-0.34072602,0.33161876,0.60307366,-0.38372827,-0.36563805,0.31585777,-0.7325334,-0.035377994,0.07932035,-0.99663866,1.8248825,0.57091904,-0.1872494,0.27450463,-0.66273165,0.5131854,0.15548177,-0.10401388,0.41650218,-0.62297463,0.32473573,-0.35930488,-0.52521855,0.5765054,0.5580047,-0.24217449,0.5709188,-0.89110315,0.6864439,0.07312268,0.6296544,0.15931268,0.15605196,0.23470776,-1.5279813,0.105499096,0.43695173,0.03659194,0.25718123,-0.10951097,-0.5508481,0.63961816,-0.6567367,-0.09040179,0.42419016,-1.0718399,0.015698222,-0.09015929,-0.005316705,0.04703688,-0.06546302,0.6277467,-0.7814346,0.003344021,0.27408323,-0.37801537,-0.9744255,-0.25572366,-0.4237992,-0.049871877,0.42417938,0.30894458,-0.511477,-0.45989177,0.32310688,1.6015382,-0.22124745,-0.7857561,0.15176678
-0.50602454,-0.062312853,-0.7636576,-0.09183504,-2.4288843,0.6704632,-0.36984694,1.1793449,0.21221483,0.6114657,1.563425,-0.3619645,0.10888167,-0.018323816,0.075420044,-0.028174646,-0.7210674,0.6405549,1.7538396,-0.5680726,0.32287782,0.9567745,-0.6237705,-0.5248671,0.21176432,-0.9398565,-0.151191,0.34372607,-0.36076853,2.2556329,0.70256525,-0.12995009,-0.3213247,-0.38958588,0.35444465,0.23944183,-0.042725623,0.48084795,-0.7177559,0.44572386,-0.7476439,-0.5191163,0.90424275,0.48142576,-0.65509933,0.8627529,-0.94016594,0.67232,0.03032916,0.48873496,0.015653249,0.38213933,0.04997038,-1.0361582,-0.13544808,0.37021,0.3202312,-0.004811902,0.51540244,-0.86569303,0.6461494,-0.39627263,-0.34957826,0.2460402,-0.9881528,0.030424887,-0.39698634,0.55590093,0.31551188,0.13682422,0.7314215,-0.2813744,0.27191156,0.33808792,-0.67249954,-0.7987323,-0.8166749,-0.33733243,-0.09384174,0.1711069,0.65791255,-0.9400078,0.10106662,0.62755144,1.4022931,-0.2925273,-0.81262493,-0.09342798
0.094463475,-0.007612294,-0.44006467,0.15911742,-1.7980353,-0.24433221,-0.24642037,1.4548507,0.33639464,0.53011453,0.815122,-0.20831303,0.045856174,0.87561446,-0.22866967,-0.38055384,-0.9090142,-0.24370983,1.568333,-0.6551864,0.8335093,1.3956442,-1.1210158,-1.8016886,-0.091511205,-1.4025807,-0.6255234,-0.048889704,0.040651683,1.1107576,0.4583587,-0.057564355,-0.43430775,-0.49110845,-0.050804846,-0.54673547,0.48975295,0.21357799,-0.8869429,0.42984137,-0.9759281,-0.24018493,0.9514226,0.25774032,-0.5264146,0.35749543,-0.41991904,0.7903957,-0.33091658,0.26206475,-0.07512512,1.1741904,-0.56703216,-0.31358787,-0.3855701,-0.29435068,0.13410401,-0.6856566,0.34320408,-0.73483443,0.63835114,-0.05992614,-1.5587782,0.6372073,0.31984264,0.018831136,-0.6263595,0.6222116,0.63870233,0.09144364,0.9282802,0.5424195,0.7015073,0.3311557,-0.4785845,0.02934701,-0.733153,0.05339556,-0.8420168,0.47421697,0.49274236,-1.0582544,-0.122586444,0.69257295,0.783027,-0.7200882,-0.5004101,-1.0043597
0.018803172,0.40055743,-0.3576639,0.7585442,-1.9453574,-0.11521764,-0.023968145,1.4795581,0.51486415,0.35083097,0.7827356,-0.31442448,0.31654885,0.80457795,-0.18774751,-0.67598003,-0.92841065,-0.057588525,1.4837153,-0.7099491,0.7836363,1.2830654,-1.409642,-1.8086239,0.021855142,-1.4709452,-0.5983979,-0.21540551,-0.14608388,1.0894408,0.50427836,0.075878724,-0.27521217,-0.40731925,0.00996805,-0.6211922,0.3546113,0.35062537,-1.0090812,0.16122705,-0.91122556,-0.18132448,0.7373122,0.5310183,-0.22136976,0.38503897,-0.5554611,0.76325285,-0.486336,0.2933578,-0.007218412,0.99980634,-0.4918477,-0.60433054,-0.27137876,-0.09698006,0.021168903,-0.25171483,0.22567283,-0.7691403,0.51316905,-0.20573981,-1.560807,0.5331622,0.25083557,-0.08456777,-0.40135127,0.33122396,0.6566729,0.14168228,0.8820892,0.45708528,0.6085138,0.38436663,-0.3055646,-0.2233201,-0.6126552,0.11320928,-0.48705643,0.46320072,0.37523276,-0.91376585,-0.25077116,0.35650513,0.90398616,-0.7187382,-0.424793,-1.1308367
-0.24387819,0.5667353,-0.09518166,0.9146575,-2.1883185,0.036422,0.07022887,1.3671122,0.432056,0.2132333,0.67889106,-0.36045897,0.40668347,0.7597528,-0.24031314,-0.78235066,-0.9591534,0.1406439,1.2695448,-0.7417671,0.77900463,1.089852,-1.4796789,-1.5343959,-0.0651692,-1.4183995,-0.63489395,-0.31112882,-0.27760997,1.0960209,0.6379606,-0.02974559,0.021571571,-0.20414442,0.17761299,-0.5635365,0.23589495,0.4945885,-0.90394604,0.25464648,-0.76150715,-0.27414355,0.38044485,0.6621641,-0.15565342,0.29468054,-0.6357842,0.8562581,-0.53543556,0.22070992,0.048748873,0.8950058,-0.45063964,-0.655897,-0.3851225,0.19282842,-0.022249646,-0.046355527,-0.017231843,-0.7743694,0.55956024,-0.28154463,-1.4844157,0.43066484,0.123656854,-0.031905055,-0.29150015,-0.08397008,0.61368954,0.2231523,0.8141155,0.3422404,0.36153194,0.35887122,-0.25464368,-0.48809844,-0.37237632,0.11082007,-0.35605812,0.29018557,0.39305636,-0.73772055,-0.22077462,0.20611385,1.062643,-0.6906817,-0.40926412,-1.0128387
